Country,Life expectancy
Afghanistan,64.5
Algeria,76.7
Andorra,81.8
Angola,60.8
Antigua and Barbuda,76.9
Argentina,76.5
Armenia,74.9
Australia,83.3
Austria,81.4
Azerbaijan,72.9
Bahrain,77.2
Bangladesh,72.3
Barbados,79.1
Belarus,74.6
Belgium,81.5
Belize,74.5
Benin,61.5
Bhutan,71.5
Bolivia,71.2
Bosnia and Herzegovina,77.3
Botswana,69.3
Brazil,75.7
Brunei,75.7
Bulgaria,74.9
Burkina Faso,61.2
Burundi,61.2
Cambodia,69.6
Cameroon,58.9
Canada,82.3
Cape Verde,72.8
Central African Republic,52.8
Chad,54
Chile,80
China,76.7
Colombia,77.1
Comoros,64.1
Costa Rica,80.1
Croatia,78.3
Cuba,78.6
Cyprus,80.8
Czech Republic,79.2
Democratic Republic of the Congo,60.4
Denmark,80.8
Djibouti,66.6
Dominican Republic,73.9
East Timor,69.3
Ecuador,76.8
Egypt,71.8
El Salvador,73.1
Equatorial Guinea,58.4
Eritrea,65.9
Estonia,78.6
Eswatini,59.4
Ethiopia,66.2
Fiji,67.3
Finland,81.7
France,82.5
Gabon,66.2
Georgia,73.6
Germany,81.2
Ghana,63.8
Greece,82.1
Greenland,71.25
Grenada,72.4
Guatemala,74.1
Guinea,61.2
Guinea-Bissau,58
Guyana,69.8
Haiti,63.7
Honduras,75.1
Hong Kong,84.7
Hungary,76.7
Iceland,82.9
India,69.4
Indonesia,71.5
Iran,76.5
Iraq,70.5
Ireland,82.1
Israel,82.8
Italy,83.6
Ivory Coast,57.4
Jamaica,74.4
Japan,84.5
Jordan,74.4
Kazakhstan,73.2
Kenya,63.3
Kiribati,68.1
Kuwait,75.4
Kyrgyzstan,71.3
Laos,67.6
Latvia,75.2
Lebanon,78.9
Lesotho,53.7
Liberia,63.7
Libya,72.7
Liechtenstein,80.5
Lithuania,75.7
Luxembourg,82.1
Madagascar,66.7
Malawi,63.8
Malaysia,76.1
Mali,58.9
Malta,82.4
Marshall Islands,73.9
Mauritania,64.7
Mauritius,74.9
Mexico,75
Micronesia,67.8
Moldova,71.8
Mongolia,69.7
Montenegro,76.8
Morocco,76.5
Mozambique,60.2
Myanmar,66.9
Namibia,63.4
Nepal,70.5
Netherlands,82.1
New Zealand,82.1
Nicaragua,74.3
Niger,62
Nigeria,54.3
North Macedonia,75.7
Norway,82.5
Oman,77.6
Pakistan,67.1
Palau,73.7
Palestine,73.9
Panama,78.3
Papua New Guinea,64.3
Paraguay,74.1
Peru,76.5
Philippines,71.1
Poland,78.5
Portugal,81.9
Republic of the Congo,64.3
Romania,75.9
Russia,72.4
Rwanda,68.7
Saint Kitts and Nevis,74.6
Saint Lucia,76.1
Saint Vincent and the Grenadines,72.4
Samoa,73.2
Sao Tome and Principe,70.2
Saudi Arabia,75
Senegal,67.7
Serbia,75.8
Seychelles,73.3
Sierra Leone,54.3
Singapore,83.8
Slovakia,77.4
Slovenia,81.2
Solomon Islands,72.8
Somalia,56.7
South Africa,63.9
South Sudan,57.6
Spain,83.4
Sri Lanka,76.8
Sudan,65.1
Suriname,71.6
Sweden,82.7
Syria,71.8
Tajikistan,70.9
Tanzania,65
Thailand,76.9
The Bahamas,73.8
The Gambia,61.7
Togo,60.8
Tonga,70.8
Trinidad and Tobago,73.4
Tunisia,76.5
Turkey,78.3
Turkmenistan,68.1
Uganda,63
Ukraine,72
United Arab Emirates,77.8
United Kingdom,81.2
United States,78.9
Uruguay,77.8
Uzbekistan,71.5
Vanuatu,70.3
Venezuela,72.1
Vietnam,75.3
Yemen,66.1
Zambia,63.5
Zimbabwe,61.2
