Country,Sex-ratio
Afghanistan,1.03
Albania,0.98
Algeria,1.03
American Samoa,1
Andorra,1.06
Angola,0.95
Anguilla,0.9
Antigua and Barbuda,0.89
Argentina,0.98
Armenia,0.95
Aruba,0.9
Australia,0.99
Austria,0.96
Azerbaijan,0.98
The Bahamas,0.96
Bahrain,1.53
Bangladesh,0.97
Barbados,0.94
Belarus,0.87
Belgium,0.97
Belize,1
Benin,0.97
Bermuda,0.94
Bhutan,1.08
Bolivia,0.98
Bosnia and Herzegovina,0.95
Botswana,0.93
Brazil,0.97
Brunei,0.96
Bulgaria,0.95
Burkina Faso,0.96
Burundi,0.99
Cambodia,0.95
Cameroon,0.99
Canada,0.98
Cape Verde,0.95
Cayman Islands,0.95
Central African Republic,0.99
Chad,0.98
Chile,0.97
China,1.06
Colombia,0.98
Comoros,0.94
Democratic Republic of the Congo,1
Republic of the Congo,1.01
Cook Islands,1.06
Costa Rica,1
Croatia,0.93
Cuba,0.99
Curacao,0.92
Cyprus,1.05
Czech Republic,0.97
Denmark,0.99
Djibouti,0.83
Dominica,1.02
Dominican Republic,1.02
Ecuador,0.99
Egypt,1.05
El Salvador,0.92
Equatorial Guinea,1
Eritrea,0.97
Estonia,0.88
Eswatini,0.9
Ethiopia,1
Faroe Islands,1.08
Fiji,1.03
Finland,0.97
France,0.96
French Polynesia,1.05
Gabon,1.08
The Gambia,0.98
Gaza Strip,1.02
Georgia,0.92
Germany,0.96
Ghana,0.97
Gibraltar,1.01
Greece,0.95
Greenland,1.08
Grenada,1.03
Guam,1.06
Guatemala,0.99
Guernsey,0.99
Guinea,1
Guinea-Bissau,0.95
Guyana,1.02
Haiti,0.98
Honduras,0.95
Hong Kong,0.86
Hungary,0.91
Iceland,1
India,1.08
Indonesia,1
Iran,1.03
Iraq,1.01
Ireland,1
Isle of Man,1
Israel,1.01
Italy,0.93
Ivory Coast,1.01
Jamaica,0.98
Japan,0.94
Jersey,0.97
Jordan,1.11
Kazakhstan,0.91
Kenya,1
Kiribati,0.94
North Korea,0.95
South Korea,1.01
Kuwait,1.38
Kyrgyzstan,0.96
Laos,0.99
Latvia,0.86
Lebanon,1
Lesotho,0.98
Liberia,1
Libya,1.05
Liechtenstein,0.99
Lithuania,0.86
Luxembourg,1.02
Macau,0.9
Madagascar,1
Malawi,0.98
Malaysia,1.03
Maldives,1.13
Mali,0.95
Malta,1.01
Marshall Islands,1.03
Mauritania,0.93
Mauritius,0.96
Mexico,0.96
Micronesia,0.97
Moldova,0.96
Monaco,0.94
Mongolia,0.95
Montenegro,0.97
Montserrat,1
Morocco,1
Mozambique,0.97
Myanmar,0.97
Namibia,0.96
Nauru,0.88
Nepal,0.96
Netherlands,0.98
New Caledonia,1
New Zealand,1
Nicaragua,0.95
Niger,0.98
Nigeria,1.02
North Macedonia,0.99
Northern Mariana Islands,1.13
Norway,1.02
Oman,1.18
Pakistan,1.04
Palau,1.07
Panama,1.01
Papua New Guinea,1.04
Paraguay,1
Peru,0.96
Philippines,1.01
Poland,0.94
Portugal,0.9
Puerto Rico,0.9
Qatar,3.39
Romania,0.95
Russia,0.86
Rwanda,0.96
Saint Barthelemy,1.12
"Saint Helena, Ascension and Tristan da Cunha",1.01
Saint Kitts and Nevis,1
Saint Lucia,0.95
Saint Martin,0.92
Saint Pierre and Miquelon,0.94
Saint Vincent and the Grenadines,1.04
Samoa,1.04
San Marino,0.94
Sao Tome and Principe,1
Saudi Arabia,1.3
Senegal,0.94
Serbia,0.95
Seychelles,1.07
Sierra Leone,0.95
Singapore,0.96
Sint Maarten,0.98
Slovakia,0.94
Slovenia,1
Solomon Islands,1.04
Somalia,1.02
South Africa,0.98
South Sudan,1.06
Spain,0.98
Sri Lanka,0.95
Sudan,1.01
Suriname,1.01
Sweden,1
Switzerland,0.98
Syria,1
Taiwan,0.97
Tajikistan,0.99
Tanzania,1
Thailand,0.96
East Timor,1
Togo,0.98
Tonga,1.01
Trinidad and Tobago,1.03
Tunisia,0.99
Turkey,1.01
Turkmenistan,0.98
Turks and Caicos Islands,1.01
Tuvalu,0.98
Uganda,0.94
Ukraine,0.86
United Arab Emirates,2.56
United Kingdom,0.99
United States,0.97
Uruguay,0.94
Uzbekistan,0.99
Vanuatu,0.99
Venezuela,0.99
Vietnam,1.01
Virgin Islands,0.91
Virgin Islands,0.91
Wallis and Futuna,1.04
Western Sahara,0.99
Yemen,1.02
Zambia,1
Zimbabwe,0.96
